LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
-17089.84,-137.959
21057.13,-8.70815
59204.1,-72.308
97351.07,-72.6043
135498,-72.9619
173645,-73.2255
211792,-72.8531
249939,-73.0405
288085.9,-72.9705
326232.9,-72.6179
364379.9,-73.3197
402526.9,-73.5162
440673.8,-73.1571
478820.8,-72.8193
516967.8,-73.1976
555114.7,-73.7454
593261.7,-73.4345
631408.7,-73.4957
669555.7,-73.6135
707702.6,-73.8737
745849.6,-74.1673
783996.6,-73.4037
822143.6,-73.3274
860290.5,-73.7209
898437.5,-73.5215
936584.5,-73.8744
974731.4,-73.8985
1012878,-74.0212
1051025,-73.8611
1089172,-73.6544
1127319,-74.1718
1165466,-74.0244
1203613,-73.5412
1241760,-74.1187
1279907,-74.0696
1318054,-74.114
1356201,-74.3942
1394348,-74.6406
1432495,-74.9543
1470642,-74.1291
1508789,-73.9186
1546936,-74.1001
1585083,-74.5398
1623230,-74.6252
1661377,-74.3598
1699524,-73.9486
1737671,-74.5908
1775818,-74.7919
1813965,-74.0243
1852112,-74.3692
1890259,-75.2841
1928406,-74.7216
1966553,-74.7766
2004700,-74.6676
2042847,-74.6314
2080994,-74.8721
2119141,-74.5535
2157288,-74.4166
2195435,-75.0769
2233582,-74.8105
2271729,-75.0736
2309875,-75.1356
2348022,-74.6998
2386169,-74.675
2424316,-74.9148
2462463,-75.1083
2500610,-75.5538
2538757,-75.2989
2576904,-74.9316
2615051,-74.8005
2653198,-74.7536
2691345,-75.0784
2729492,-75.2558
2767639,-75.3377
2805786,-75.2343
2843933,-75.3619
2882080,-75.7174
2920227,-75.6348
2958374,-76.0291
2996521,-75.735
3034668,-75.4051
3072815,-75.7837
3110962,-76.0495
3149109,-75.3459
3187256,-75.6215
3225403,-75.6935
3263550,-75.8379
3301697,-76.0826
3339844,-75.8278
3377991,-75.5611
3416138,-75.66
3454285,-76.3165
3492432,-76.2597
3530579,-76.5287
3568726,-76.2446
3606873,-75.913
3645020,-76.1786
3683167,-76.5388
3721313,-76.5234
3759460,-76.4879
3797607,-76.643
3835754,-76.4188
3873901,-76.2606
3912048,-76.7604
3950195,-76.5958
3988342,-76.6477
4026489,-76.8707
4064636,-76.575
4102783,-76.3708
4140930,-76.5254
4179077,-76.6159
4217224,-76.6317
4255371,-76.5863
4293518,-76.7668
4331665,-76.6089
4369812,-76.7985
4407959,-76.8548
4446106,-76.9946
4484253,-77.5558
4522400,-77.7596
4560547,-77.7669
4598694,-77.3781
4636841,-77.3959
4674988,-77.2634
4713135,-77.4212
4751282,-77.2617
4789429,-77.6607
4827576,-77.3927
4865723,-77.7209
4903870,-77.6278
4942017,-77.7823
4980164,-77.799
5018311,-77.3462
5056458,-77.5062
5094604,-77.5106
5132751,-77.3528
5170898,-77.753
5209045,-77.9878
5247192,-77.8503
5285339,-77.6899
5323486,-78.0352
5361633,-78.1839
5399780,-77.9858
5437927,-78.185
5476074,-78.0144
5514221,-77.8873
5552368,-78.0856
5590515,-78.1011
5628662,-78.2179
5666809,-78.1636
5704956,-78.2478
5743103,-78.5642
5781250,-78.4816
5819397,-78.5914
5857544,-79.0241
5895691,-78.601
5933838,-78.3328
5971985,-78.7763
6010132,-79.2009
6048279,-79.35
6086426,-78.8854
6124573,-79.0052
6162720,-79.2965
6200867,-79.1141
6239014,-79.4855
6277161,-79.0315
6315308,-78.6551
6353455,-79.0066
6391602,-78.9482
6429749,-79.3017
6467896,-79.5248
6506042,-79.4223
6544189,-79.4513
6582336,-79.4245
6620483,-79.7934
6658630,-79.7524
6696777,-79.4724
6734924,-79.6987
6773071,-79.2839
6811218,-78.974
6849365,-79.7207
6887512,-79.6619
6925659,-79.4744
6963806,-79.8686
7001953,-79.8493
7040100,-79.8073
7078247,-79.6504
7116394,-80.0295
7154541,-80.8459
7192688,-80.4945
7230835,-80.1973
7268982,-79.5782
7307129,-80.1536
7345276,-80.3654
7383423,-80.4578
7421570,-80.072
7459717,-79.8569
7497864,-80.1894
7536011,-80.256
7574158,-80.4581
7612305,-80.7154
7650452,-81.1193
7688599,-80.8244
7726746,-80.73
7764893,-80.3298
7803040,-80.7308
7841187,-81.0521
7879333,-80.6935
7917480,-80.6759
7955627,-80.2355
7993774,-80.4141
8031921,-80.0992
8070068,-81.0228
8108215,-81.1237
8146362,-81.2266
8184509,-81.4475
8222656,-81.179
8260803,-80.6721
8298950,-81.498
8337097,-81.4552
8375244,-80.9174
8413391,-80.6215
8451538,-80.9992
8489685,-81.4323
8527832,-81.1616
8565979,-80.9302
8604126,-81.7029
8642273,-81.3459
8680420,-81.1069
8718567,-81.1968
8756714,-81.0826
8794861,-81.3287
8833008,-81.4514
8871155,-81.3907
8909302,-81.3976
8947449,-81.4638
8985596,-81.4447
9023743,-81.3126
9061890,-81.5994
9100037,-81.5318
9138184,-81.0075
9176331,-81.3439
9214478,-81.2614
9252625,-81.1245
9290771,-81.2176
9328918,-81.6297
9367065,-81.1059
9405212,-81.4276
9443359,-81.9606
9481506,-81.6968
9519653,-81.5045
9557800,-81.3749
9595947,-81.8399
9634094,-81.5005
9672241,-81.9614
9710388,-82.2971
9748535,-81.6741
9786682,-81.4015
9824829,-82.0093
9862976,-81.8793
9901123,-81.9743
9939270,-81.3427
9977417,-81.1519
1.001556e+07,-81.5445
1.005371e+07,-81.4756
1.009186e+07,-81.798
1.013e+07,-82.0543
1.016815e+07,-81.3265
1.02063e+07,-81.0292
1.024445e+07,-80.9421
1.028259e+07,-81.7389
1.032074e+07,-81.7117
1.035889e+07,-81.7015
1.039703e+07,-81.7141
1.043518e+07,-81.9437
1.047333e+07,-81.7898
1.051147e+07,-81.3599
1.054962e+07,-81.6813
1.058777e+07,-81.3812
1.062592e+07,-81.3744
1.066406e+07,-81.7137
1.070221e+07,-81.4594
1.074036e+07,-81.3498
1.07785e+07,-81.5376
1.081665e+07,-81.3584
1.08548e+07,-81.4132
1.089294e+07,-80.8908
1.093109e+07,-80.6205
1.096924e+07,-81.1526
1.100739e+07,-81.0694
1.104553e+07,-81.1296
1.108368e+07,-81.0846
1.112183e+07,-81.0337
